name,description,location,address,phone,email,website,image_url,lat,lng,hours,category_raw,primary_category_slug,primary_subcategory_slug,verified,status,price_range,is_system,is_hidden
Pigalle,"Pigalle is an upscale restaurant and live music venue in Cape Town known for its seafood, steaks, and vibrant evening atmosphere. It's popular for special occasions, offering a classic dining experience with entertainment.",Green Point,"57a Somerset Road, Green Point, Cape Town, South Africa, 8060",+27 21 421 4848,info@pigalle.capetown,https://pigalle.capetown/,,,,"{""raw"": ""Monday - Wednesday: 17:00-02:00 Thursday - Saturday: 12:00-14:30 & 17:00-02:00 Sunday: Closed"", ""friendly"": null}",Food & Drink,food-drink,restaurants,false,active,$$,false,false
Beluga,"Beluga is a modern sushi and seafood restaurant offering a wide menu alongside cocktails in a stylish, contemporary space. It's well known for its sushi specials and lively social dining vibe.",V&A Waterfront,"1st Floor, Cruise Terminal, Duncan Rd, Victoria & Alfred Waterfront, Cape Town",+27 21 418 2948,info@beluga.co.za,https://beluga.co.za/,,,,"{""raw"": ""Monday - Thursday: 11:00-22:00 Friday - Sunday: 11:00 - 22:00"", ""friendly"": null}",Food & Drink,food-drink,restaurants,false,active,$$,false,false
Karibu Restaurant,"Karibu is a traditional South African restaurant located at the V&A Waterfront, serving local favourites like game meats and Cape Malay dishes. It's a go-to spot for visitors wanting an authentic taste of South African cuisine.",V&A Waterfront,"Shop 156, The Wharf Centre, V&A Waterfront, Victoria Wharf, Cape Town Central 8002, South Africa",+27 21 421 7005,info@kariburestaurant.co.za,https://kariburestaurant.co.za/,,,,,Food & Drink,food-drink,restaurants,false,active,$$,false,false
Mozambik V&A Waterfront,"Mozambik is an Afro-Porto fusion restaurant specialising in flame-grilled chicken, prawns, and bold peri-peri flavours. It's loved for its relaxed, tropical-inspired setting and shareable meals.",V&A Waterfront,"Shop 8, Quay 5, V & A Waterfront, Dock Rd, Waterfront, Cape Town, 8002",+27 21 023 0345,waterfront@mozambik.co.za,https://www.mozambik.co.za/western-cape/waterfront/,,,,"{""raw"": ""Monday - Saturday: 11:30 - 21:00 Sunday: Closed"", ""friendly"": null}",Food & Drink,food-drink,restaurants,false,active,$$,false,false
Cafe Caprice,"Cafe Caprice is a beachfront cafe, restaurant, and cocktail spot in Camps Bay known for its all-day dining and sunset drinks. It's a social hotspot popular with both locals and tourists.",Camps Bay,"37 Victoria Rd, Camps Bay, Cape Town",+27 21 438 8315,reservations@cafecaprice.co.za,https://cafecaprice.co.za/,,,,"{""raw"": ""Monday: 12:00 00:00 Tuesday - Thursday: 09:00 - 00:00 Friday - Sunday: 09:00 - 01:00"", ""friendly"": null}",Food & Drink,food-drink,restaurants,false,active,$$,false,false
The Gin Bar,"The Gin Bar is a hidden courtyard bar specialising in craft gin cocktails and botanical- inspired drinks. It's known for its intimate setting and creative, locally inspired menu.",City Centre,"64a Wale Street, Cape Town",+27 71 241 2277,hello@theginbar.co.za,https://www.theginbar.co.za/,,,,"{""raw"": ""Monday - Wednesday: 17:00 - 01:00 Thursday - Saturday: 15:00 - 01:00 Sunday: Closed"", ""friendly"": null}",Food & Drink,food-drink,bars,false,active,$$,false,false
Fable Cocktail Bar,"Fable is a themed cocktail bar where each drink is inspired by myths, legends, and storytelling. It's known for its theatrical presentation and inventive mixology.",City Centre,"Corner Bree & Wale Street, Cape Town",+27 66 009 7786,info@fablecocktailbar.capetown,https://fablecocktailbar.capetown/,,,,"{""raw"": ""Tuesday - Thursday: 17:00 - 00:00 Friday - Sunday: 16:00 - 00:00"", ""friendly"": null}",Food & Drink,food-drink,bars,false,active,$$,false,false
The Drinkery,"The Drinkery is an intimate cocktail bar focused on classic and expertly crafted drinks in a cosy, speakeasy-style space. It's popular for date nights and relaxed evening drinks.",City Centre,"100 Shortmarket Street Mezzanine Level, Cape Town City Centre, Cape Town",+27 82 464 4866,info@thedrinkery.co.za,https://thedrinkery.co.za/,,,,"{""raw"": ""16:00 - 00:00"", ""friendly"": null}",Food & Drink,food-drink,bars,false,active,$$,false,false
Skybar Cape Town,Skybar CPT is a rooftop bar offering panoramic city and harbour views alongside cocktails and light bites. It's a popular sunset and nightlife destination in the CBD.,De Waterkant,"49 Napier Street, Cape Town, South Africa, 8001",+27 21 421 1106,reservations@thegreyhotel.co.za,https://thegreyhotel.co.za/skybar/,,,,"{""raw"": ""Wednesday - Sunday: 12:00 - 21:00 Sunday - Monday: Closed"", ""friendly"": null}",Food & Drink,food-drink,bars,false,active,$$,false,false
Publik Wine Bar,"Publik is a contemporary wine bar focused on small-batch, local, and natural wines paired with simple seasonal food. It's known for introducing guests to unique South African winemakers.",Tamboerskloof,"11D Kloofnek Road, Tamboerskloof",,winebar@publik.co.za,https://publik.co.za/,,,,"{""raw"": ""Monday - Friday: 16:00 - 23:00 Saturday: 15:00 - 20:00 Sunday: Closed"", ""friendly"": null}",Food & Drink,food-drink,bars,false,active,$$,false,false
