name,description,location,address,phone,email,website,image_url,verified,price_range,status,badge,owner_id,slug,lat,lng,source,source_id,owner_verified,owner_verification_requested_at,owner_verification_method,owner_verification_notes,primary_category_slug,category_raw,hours,last_activity_at,primary_subcategory_label,primary_subcategory_slug,is_system,is_hidden,owner_verified_at,rejection_reason,approved_at,approved_by,is_chain,normalized_name,rejected_at,rejected_by
V&A Waterfront,"The V&A Waterfront in Cape Town, South Africa is a bustling mixed-use destination built around the oldest working harbour in the Southern Hemisphere, with iconic Table Mountain as its dramatic backdrop. It’s one of Africa’s most visited attractions, known for its shopping, dining, entertainment, hotels, museums, and leisure activities — all set along scenic harbourside walkways overlooking the sea and mountains.",de waterkant,,214087600,info@waterfront.co.za,https://www.waterfront.co.za/,,false,$$,active,,,,,,newBusinessData.xlsx,v-a-waterfront,false,,,,shopping-lifestyle,Shopping &lifestyle,"{""raw"": ""Makers Landing: 10AM – 6PM (Wed-Sun) Mon – Sun: Select Vendors Open\nCommercial Kitchen Spaces: Open 24/7 OZCF Market: 4PM – 9pm (Wed),\n8AM – 2PM (Sat),\n8:30AM – 2PM (Sun) Watershed: 10AM – 7PM (Mon-Sun) Battery Park: 9AM – 6PM (Mon-Sun), Victoria Wharf: 9AM – 9PM (Mon-Sun) The Alfred: 10AM – 7PM (Mon-Sun) Union Castle Building: 9AM – 9PM (Mon-Sun)"", ""friendly"": null}",,Fashion & Clothing,fashion,false,false,,,,,false,,,
Table Mountain Aerial Cableway,"The Table Mountain Aerial Cableway is a popular cable car attraction in Cape Town that transports visitors from the lower slopes of Table Mountain to its flat-topped summit in about five minutes. Featuring rotating cabins that provide 360-degree views, the ride offers spectacular panoramas of the city, coastline, and surrounding mountains. It’s one of South Africa’s most iconic and visited experiences.",table mountain (nature reserve),"5821 Tafelberg Rd, Cape town, 8001",214240015,info@tablemountain.net,https://www.tablemountain.net/talk-to-us,,false,$$,active,,,,,,newBusinessData.xlsx,table-mountain-aerial-cableway,false,,,,outdoors-adventure,Outdoors and adventure,"{""raw"": ""First up 08:00 Last up 19:00 Last down 20:00"", ""friendly"": null}",,Hiking,hiking,false,false,,,,,false,,,
Zeitz MOCAA,"The Zeitz Museum of Contemporary Art Africa (Zeitz MOCAA) is a world-class museum dedicated to contemporary art from Africa and its diaspora. Located at the V&A Waterfront in a strikingly redesigned historic grain silo, the museum features cutting-edge exhibitions across multiple floors, showcasing painting, sculpture, photography, and multimedia works. It is the largest museum of contemporary African art in the world and a major cultural landmark in Cape Town.",de waterkant,"S Arm rd, Victoria & Alfred waterfront, cape town, 8001",873504777,info@zeitzmochaa.museum,https://zeitzmocaa.museum/?v=959848ca10cc,,false,$$,active,,,,,,newBusinessData.xlsx,zeitz-mocaa,false,,,,arts-culture,Arts and culture,"{""raw"": ""Monday-Sunday 10am-6pm"", ""friendly"": null}",,Museums,museums,false,false,,,,,false,,,
Two Oceans Aquarium,"The Two Oceans Aquarium is a family-friendly marine attraction located at the V&A Waterfront in Cape Town. It showcases the rich marine life found where the Atlantic and Indian Oceans meet, featuring exhibits such as a giant ocean tank, a living kelp forest, and interactive touch pools. The aquarium is known for its conservation efforts and offers an immersive experience highlighting South Africa’s diverse underwater ecosystems.",de waterkant,"Dock Road, V&A Waterfront Cape Town",(0)21 418 3823,aquarium@aquarium.co.za,https://www.aquarium.co.za/,,false,$$,active,,,,,,newBusinessData.xlsx,two-oceans-aquarium,false,,,,experiences-entertainment,Entertainment and experiences,"{""raw"": ""09h30 to 18h00, 7 days a week"", ""friendly"": null}",,Sports & Recreation,sports-recreation,false,false,,,,,false,,,
Kirstenbosch National Botanical Garden,"The Kirstenbosch National Botanical Garden is a world-renowned botanical garden nestled on the eastern slopes of Table Mountain in Cape Town. Celebrated for its stunning landscapes and diverse collection of indigenous South African plants, it features scenic walking trails, the famous Boomslang canopy walkway, and seasonal open-air concerts. Kirstenbosch is considered one of the most beautiful botanical gardens in the world and a must-visit natural attraction in the city.",newlands,"Rhodes dr, newlands, cape town",021 799 8783 / 021 799 8773,KirstenboschInfo@sanbi.org.za,https://www.sanbi.org/gardens/kirstenbosch/,,false,$$,active,,,,,,newBusinessData.xlsx,kirstenbosch-national-botanical-garden,false,,,,outdoors-adventure,Outdoors and adventure,"{""raw"": ""The garden is open every day from 08h00 to 19h00 during summer (Sep-Mar), 08h00 to 18h00 during winter (Apr-Aug) The Conservatory is open every day from 09h00 to 17h00. The Curator’s Office is open Monday to Friday only, from 07h30-16h20, except on public holidays."", ""friendly"": null}",,Hiking,hiking,false,false,,,,,false,,,
Robben Island Museum Tours,"The Robben Island Museum is a historic site and museum located on Robben Island, just off the coast of Cape Town. Once used as a prison during apartheid, it is most famous for holding Nelson Mandela for 18 years. Today, it is a UNESCO World Heritage Site where visitors can tour the former prison, see Mandela’s cell, and learn about South Africa’s journey to freedom through guided tours often led by former political prisoners.",de waterkant,"V&A Waterfront, cape town",214134200,infow@robben-island.org.za,https://www.robben-island.org.za/,,false,$$,active,,,,,,newBusinessData.xlsx,robben-island-museum-tours,false,,,,arts-culture,Arts and culture,"{""raw"": ""Monday to Sunday - 08:00 to 17:00"", ""friendly"": null}",,Museums,museums,false,false,,,,,false,,,
Cape Point Nature Reserve,"The Cape Point Nature Reserve is a dramatic coastal conservation area located at the southern tip of the Cape Peninsula within the Table Mountain National Park. Known for its towering sea cliffs, rugged landscapes, and diverse wildlife, it offers scenic hiking trails, pristine beaches, and panoramic ocean views. Visitors can explore the historic lighthouse and experience the iconic meeting point of the Atlantic and Indian Oceans near the Cape of Good Hope.",simon's town,"Cape Peninsula, Simon's Town, 7995, South Africa",217809010,info@capepoint.co.za,https://capepoint.co.za/,,false,$$,active,,,,,,newBusinessData.xlsx,cape-point-nature-reserve,false,,,,outdoors-adventure,Outdoors and adventure,"{""raw"": ""April-Sptember 7am-5pm October-March 6am-6pm"", ""friendly"": null}",,Hiking,hiking,false,false,,,,,false,,,
Boulders Beach Penguin Colony,"The Boulders Beach Penguin Colony is a protected beach area near Simon’s Town, just outside Cape Town, famous for its colony of endangered African penguins. Part of Table Mountain National Park, the site features wooden boardwalks that allow visitors to observe the penguins up close in their natural habitat, surrounded by large granite boulders and clear turquoise waters. It is one of the few places in the world where you can see penguins living on a beach.",simon's town,simon's town cape town,(0)21 786 2329,reservations@sanparks.org,https://www.sanparks.org/parks/table-mountain/what-to-do/attractions/boulders-penguin-colony,,false,$$,active,,,,,,newBusinessData.xlsx,boulders-beach-penguin-colony,false,,,,outdoors-adventure,Outdoors and adventure,,,Sports & Recreation,sports-recreation,false,false,,,,,false,,,
Camps Bay Beach,"The Camps Bay Beach is one of Cape Town’s most popular and scenic beaches, known for its white sand, clear Atlantic waters, and stunning backdrop of the Twelve Apostles mountain range. Lined with palm trees, cafés, and stylish restaurants, it’s a favourite spot for sunbathing, sunset views, and vibrant beachfront dining.",camps bay,"victoria road, camps bay",214394332,,https://www.capetown.gov.za/Family%20and%20home/see-all-city-facilities/our-recreational-facilities/Beaches/Camps%20Bay%20Beach,,false,$$,active,,,,,,newBusinessData.xlsx,camps-bay-beach,false,,,,outdoors-adventure,Outdoors and adventure,,,Water Sports,water-sports,false,false,,,,,false,,,
Clifton 4th Beach,"The Clifton 4th Beach is one of Cape Town’s most exclusive and picturesque beaches, famous for its soft white sand, turquoise waters, and sheltered setting between large granite boulders. Popular for sunbathing and swimming, it offers a quieter, more protected atmosphere compared to nearby beaches and is especially beautiful at sunset.",clifton,"victoria road, clifton",214394332,,https://www.capetown.gov.za/Family%20and%20home/See-all-city-facilities/Our-recreational-facilities/Beaches/Clifton-4th-Beach,,false,$$,active,,,,,,newBusinessData.xlsx,clifton-4th-beach,false,,,,outdoors-adventure,Outdoors and adventure,,,Water Sports,water-sports,false,false,,,,,false,,,
