name,description,location,address,phone,email,website,image_url,verified,price_range,status,badge,owner_id,slug,lat,lng,source,source_id,owner_verified,owner_verification_requested_at,owner_verification_method,owner_verification_notes,primary_category_slug,category_raw,hours,last_activity_at,primary_subcategory_label,primary_subcategory_slug,is_system,is_hidden,owner_verified_at,rejection_reason,approved_at,approved_by,is_chain,normalized_name,rejected_at,rejected_by,conflict_reason
V&A Waterfront,"The V&A Waterfront in Cape Town, South Africa is a bustling mixed-use destination built around the oldest working harbour in the Southern Hemisphere, with iconic Table Mountain as its dramatic backdrop. It’s one of Africa’s most visited attractions, known for its shopping, dining, entertainment, hotels, museums, and leisure activities — all set along scenic harbourside walkways overlooking the sea and mountains.",de waterkant,,214087600,info@waterfront.co.za,https://www.waterfront.co.za/,,false,$$,active,,,,,,newBusinessData.xlsx,v-a-waterfront,false,,,,shopping-lifestyle,Shopping &lifestyle,"{""raw"": ""Makers Landing: 10AM – 6PM (Wed-Sun) Mon – Sun: Select Vendors Open\nCommercial Kitchen Spaces: Open 24/7 OZCF Market: 4PM – 9pm (Wed),\n8AM – 2PM (Sat),\n8:30AM – 2PM (Sun) Watershed: 10AM – 7PM (Mon-Sun) Battery Park: 9AM – 6PM (Mon-Sun), Victoria Wharf: 9AM – 9PM (Mon-Sun) The Alfred: 10AM – 7PM (Mon-Sun) Union Castle Building: 9AM – 9PM (Mon-Sun)"", ""friendly"": null}",,Fashion & Clothing,fashion,false,false,,,,,false,,,,normalized_name already exists (v&a waterfront)
Two Oceans Aquarium,"The Two Oceans Aquarium is a family-friendly marine attraction located at the V&A Waterfront in Cape Town. It showcases the rich marine life found where the Atlantic and Indian Oceans meet, featuring exhibits such as a giant ocean tank, a living kelp forest, and interactive touch pools. The aquarium is known for its conservation efforts and offers an immersive experience highlighting South Africa’s diverse underwater ecosystems.",de waterkant,"Dock Road, V&A Waterfront Cape Town",(0)21 418 3823,aquarium@aquarium.co.za,https://www.aquarium.co.za/,,false,$$,active,,,,,,newBusinessData.xlsx,two-oceans-aquarium,false,,,,experiences-entertainment,Entertainment and experiences,"{""raw"": ""09h30 to 18h00, 7 days a week"", ""friendly"": null}",,Sports & Recreation,sports-recreation,false,false,,,,,false,,,,normalized_name already exists (two oceans aquarium)
Clifton 4th Beach,"The Clifton 4th Beach is one of Cape Town’s most exclusive and picturesque beaches, famous for its soft white sand, turquoise waters, and sheltered setting between large granite boulders. Popular for sunbathing and swimming, it offers a quieter, more protected atmosphere compared to nearby beaches and is especially beautiful at sunset.",clifton,"victoria road, clifton",214394332,,https://www.capetown.gov.za/Family%20and%20home/See-all-city-facilities/Our-recreational-facilities/Beaches/Clifton-4th-Beach,,false,$$,active,,,,,,newBusinessData.xlsx,clifton-4th-beach,false,,,,outdoors-adventure,Outdoors and adventure,,,Water Sports,water-sports,false,false,,,,,false,,,,normalized_name already exists (clifton 4th beach)
DHL Stadium,"The DHL Stadium, formerly known as Newlands Stadium, is a historic sports venue in Cape Town primarily used for rugby and cricket. Renowned as one of the oldest rugby stadiums in the world, it has a passionate fan atmosphere and hosts major domestic and international matches, offering views of the surrounding Table Mountain",greenpoint,"Fritz Sonnenberg Road, greenpoint, cape town",214170111,,https://dhlstadium.co.za/,,false,$$,active,,,,,,newBusinessData.xlsx,dhl-stadium,false,,,,experiences-entertainment,Entertainment and experiences,,,Sports & Recreation,sports-recreation,false,false,,,,,false,,,,normalized_name already exists (dhl stadium)
Artscape Theatre Centre,"The Artscape Theatre Centre is Cape Town’s premier performing arts venue, hosting a wide range of productions including theatre, ballet, opera, and concerts. Located in the city centre, the theatre features modern facilities, a large auditorium, and state-of-the-art acoustics, making it a key cultural hub for both local and international performances.",Foreshore,"D.F. Malan street, foreshore, cape town",214109800,artscape@artscape.co.za,https://www.artscape.co.za/,,false,$$,active,,,,,,newBusinessData.xlsx,artscape-theatre-centre,false,,,,arts-culture,Arts and culture,,,Theatres,theaters,false,false,,,,,false,,,,normalized_name already exists (artscape theatre centre)
MOJO Market,"The Mojo Market is a lively indoor market and dining destination located in Sea Point, Cape Town. It features a variety of food stalls, craft beverages, retail shops, and live entertainment. Known for its vibrant atmosphere, Mojo Market is a popular spot for locals and tourists to enjoy casual dining, artisanal products, and social gatherings.",Sea point,"30 Regent Road, Sea Point, Cape Town",,admin1@freedomproperties.co.za,https://www.mojomarket.co.za/,,false,$$,active,,,,,,newBusinessData.xlsx,mojo-market,false,,,,shopping-lifestyle,Shopping &lifestyle,"{""raw"": ""Coffee & Breakfast open daily from 8am Food Stalls & Bars:Sun - Thurs 11am-10pm Fri - Sat 11am-11pm"", ""friendly"": null}",,Fashion & Clothing,fashion,false,false,,,,,false,,,,normalized_name already exists (mojo market)
Rosetta Roastery,"The Rosetta Roastery is a specialty coffee roastery and café located in Cape Town. Known for its carefully sourced beans, precision roasting, and artisanal brewing methods, Rosetta Roastery offers a refined coffee experience. It emphasizes quality, sustainability, and craftsmanship, attracting coffee enthusiasts seeking expertly prepared espresso and filter coffees.",cape town city centre,"97 Bree st, Corner of Bree & Shortmarket st, Cape Town",21 447 4099,info@rosettaroastery.com,https://www.rosettaroastery.com/?srsltid=AfmBOoqI7jg8VLbOJnJdA9aJ9teEUWvqaNrET1ShxygLlZFd72lsL2le,,false,$$,active,,,,,,newBusinessData.xlsx,rosetta-roastery,false,,,,food-drink,food and drink,"{""raw"": ""Mon - Fri: 7 am - 4 pm Sat: 8 am - 4 pm Sun & Public Holidays: 8 am - 2 pm"", ""friendly"": null}",,Cafes & Coffee,cafes,false,false,,,,,false,,,,normalized_name already exists (rosetta roastery)
Origin Coffee Roasting,"The Origin Coffee Roasting is a specialty coffee roastery and café in Cape Town, celebrated for its high-quality, ethically sourced beans and artisanal roasting techniques. It focuses on precision brewing, from espresso to pour-over, offering a refined coffee experience. Origin Coffee Roasting is popular among coffee aficionados for its dedication to flavor, craftsmanship, and sustainable sourcing.",de waterkant,"28 Hudson Street, De Waterkant, cape town",021 421 1000,info@originroasting.co.za,https://originroasting.co.za/?srsltid=AfmBOor__TnfjSNadALQnX-8GePEit8M3JGm_GkrKIJEYjfk8LruftCR,,false,$$,active,,,,,,newBusinessData.xlsx,origin-coffee-roasting,false,,,,food-drink,food and drink,"{""raw"": ""Monday-Friday: 07:00-16:00 Saturday-Sunday: 08:00-15:00 Weekends & Public Holidays: 08:00-15:00"", ""friendly"": null}",,Cafes & Coffee,cafes,false,false,,,,,false,,,,normalized_name already exists (origin coffee roasting)
Jason Bakery,"The Jason Bakery is a popular artisanal bakery and café in Cape Town, celebrated for its freshly baked breads, pastries, and specialty coffee. Known for high-quality ingredients, innovative flavors, and a casual, inviting atmosphere, it attracts both locals and tourists looking for a relaxed spot to enjoy breakfast, brunch, or a coffee break.",greenpoint,"83 Main Road, Green Point, Cape Town",214330538,,https://jasonbakery.com/,,false,$$,active,,,,,,newBusinessData.xlsx,jason-bakery,false,,,,food-drink,food and drink,"{""raw"": ""Monday to Saturday: 7am to 3pm Sunday: 8am to 2pm"", ""friendly"": null}",,Cafes & Coffee,cafes,false,false,,,,,false,,,,normalized_name already exists (jason bakery)
Kloof Street House,"The Kloof Street House is a stylish restaurant and bar located in a Victorian-era house on Kloof Street, Cape Town. Known for its eclectic décor, intimate ambiance, and inventive menu blending local and international flavors, it offers a unique dining experience. The venue is popular for both casual meals and special occasions, combining a cozy, historic setting with contemporary cuisine.",gardens,"30 kloof street, gardens, cape town",214234413,info@kloofstreethouse.co.za,https://www.kloofstreethouse.co.za/,,false,$$,active,,,,,,newBusinessData.xlsx,kloof-street-house,false,,,,food-drink,food and drink,"{""raw"": ""Mondays 11:00 till late Tuesday to Sunday 10:00 till late"", ""friendly"": null}",,Restaurants,restaurants,false,false,,,,,false,,,,normalized_name already exists (kloof street house)
